generated_sentence,perplexity
east division t,1.8331115627008447
to like guys fr,4.7257406245645575
> on do you see,5.056910121017918
> that does not,7.163258990199229
so sorry but th,2.945778471214749
other news my c,3.387538319532603
rt new packers ,2.3906486241116935
everyone for al,5.118777563769385
shirt we saved ,4.786954293077996
show hi < unk >,2.7618232363681585
what to get on ,9.129655803170234
sure i thought ,7.864530681415958
loved the < unk,6.852626666879524
as the red ligh,4.150296993280963
> on sat < unk ,8.824093276528922
> seminar we ta,3.6886411253133353
town to find bu,4.969880693015967
put your number,2.8629703313406707
cam app on the ,3.851401409900545
its 105 years h,3.0565120940282458
carter as a lea,5.574107351370667
collaboration <,9.003784014370453
tweet for natio,2.753842389547262
go faster which,2.8976129670230684
as gasol does,1.0000002114999553
but hey those <,3.181344521666435
titles for a wa,6.253468711718789
worth a thousan,2.9699741294418227
least 14 of gas,3.6017539938259544
you do let me i,8.716496647728622
art despite har,2.3597213586768273
waiting for it ,2.9240029330551116
ok metta world ,2.445818346369749
that treats his,3.8717782235812024
doing my hair l,6.251133169915274
they probably <,5.567799014422564
> the same thin,7.963729223096104
was now or in t,2.9022577769888698
group through y,2.7357680281071572
yes there is fr,4.0062397371182135
cracked pot tha,3.180654715259773
where are the t,6.239004423733842
pleased with th,5.0287665075218015
today you cant ,3.4629404343418178
to be safer tha,3.5383622526960754
unk > jokes < u,7.28181109525689
my boi n battle,2.749068953222881
from rush on < ,7.953786250578456
with his sis,2.9240177628564874
didnt realize t,3.676988656879564
more to come ou,4.383463045882088
deaf can hear t,2.9362628974037484
unk > register ,6.592339476924364
unk > lose < un,6.042502520928086
cry i would giv,4.869138209442961
i guess good by,5.6528089595570075
always remember,3.737589511802919
fat drunk happy,4.069871782797253
ready for octob,4.657009517402193
hotter to be ob,4.1114144761539
how could you s,5.951531413061378
broccoli and sp,4.030418939989528
back talk to us,2.424375832106924
fun on < unk > ,3.4178266333208485
down 99 to 0 wi,1.437580995575255
> service has b,3.0553975248379293
has the bigger ,1.7948524043834277
you sorry i mis,3.112016878711435
everything is g,7.4046507021626224
> when hes on t,3.653952464225412
up and agree wi,6.796428188234132
each other < un,5.524840944714597
> king < unk > ,3.3883635788406967
the spring brea,5.286507830426073
the rain im so ,4.217710711536039
like 10 miles t,1.861209914965071
chat about the ,4.246031553045291
you kidding tha,4.247346185308398
lets focus on t,4.941136143226573
> what the hell,7.965089215218558
mortgage < unk ,5.001772400602335
waiting for at ,5.504390605379592
others who play,3.184202640078836
but if your gir,4.358161666479765
am who i will k,7.043185413339819
what youre sayi,4.074128375671587
cant remember a,3.0058244298892665
your magazine i,3.1738340081424297
gon < unk > and,3.8456129805641943
mike brown is a,2.827686343907618
> at local park,6.312663532874691
aw how cute the,3.6045223790462635
said one player,1.0000002114999553
you know what t,5.5955848972956135
> worries ill k,3.532286346633102
> please back o,2.2416633659862164
of infrastructu,1.2599211831105113
> today in west,3.503729603245573
like when we < ,8.353054658365142
year i hope you,5.743344070171582
at this part an,3.961431066939962
ran bitch ran h,3.52769111059306
agreed i think ,4.422364716952296
there really a ,3.811219774627108
be our < unk > ,3.523640332002407
halloween town ,1.0000002114999553
beauty in the <,4.433029595913155
reply to hey < ,5.974705440267306
ipad can work f,1.495349065830903
we see it but i,5.272049125832312
in digital < un,4.868881451607219
in fast < unk >,2.75384249501479
not have your t,3.3469551536912467
why i never had,7.794213419162707
x the size of g,1.4142139015174453
of trayvon mart,4.572907410460548
man shoots aggr,4.216531357958521
heat look good ,4.762683916259476
for dinner and ,2.243618232681847
then rest < unk,5.157375996307391
give me shout o,2.5892286798336444
unk > specific ,6.094071009481249
follow me ill f,6.668979323075936
uh oh starting ,3.749603764901136
clothes nd danc,1.1472032287730687
as quickly as i,4.458332462876984
and calm the ne,1.1892073979447828
pop commercial ,4.4234008774135285
things done the,4.490179247945362
off his < unk >,4.361060158431531
put out is < un,3.2381441809218603
> dont rap we p,4.113481405944291
nj crowd to chi,3.6566086621132055
but i would hav,5.564975517056936
via our website,3.9517930136165766
every now and g,4.463076942476043
to today sittin,2.856653051093006
a blue < unk > ,3.555401125623446
off at 7 this m,3.751314917639655
enough of them ,6.586850352801453
in where u been,5.921571861961784
funding in cost,4.236921454723797
> you won if be,4.356004029810187
round 6 overall,1.0000002114999553
if what you don,4.145018735713051
for speed netwo,3.165270605363027
booking for our,4.920492203505083
the pittsburgh ,5.644466065500226
nope not workin,5.306306230354481
meetup 2 tonigh,1.0000002114999553
of legend you h,4.187745474304798
biggest ipad ha,2.382268932480011
early 90s but n,4.87643933735546
would probably ,3.6133193913366006
shirts and obvi,2.6687515688561665
head of digital,2.8693955563549673
make the greate,4.605954419138542
remember seau h,2.6678126096724415
possibilities i,3.351544248866834
my love goes ou,6.114124499455629
restaurants not,4.638950885069403
> 1 would be cl,5.066246272271542
position with t,2.933074860051409
dad no we have ,4.42335910792991
strong througho,3.75716893311524
favor of dana <,3.7881182997405913
a weird al < un,5.561291600808515
screens not und,1.0000002114999553
the negative pe,3.131279140803315
will be forever,4.190412836088456
mens womens bas,4.900976834925084
different what ,2.349010825986285
wood has an fm ,1.5130862427602352
big hockey fan ,4.8353396360701755
great chance to,5.014463812580889
us know we r au,4.9165450190656514
as well be back,5.5772228157722505
ur best friend ,2.5142469206677593
of us have had ,5.76429744813613
an argument wit,4.384517645427312
whole mixtape a,2.4857230431172312
stuff the audio,5.268835903124044
cover is < unk ,3.324386352689056
seen next to at,5.546292810860654
those who make ,6.113480955525149
dem boyz < unk ,5.097433924952998
> im jealous of,5.555982612150309
i fucking love ,5.5554687190482035
a good 30 lbs r,4.894249792355241
i craving popco,2.783560467813691
new job because,4.990576229152365
my problems wer,4.377964090245077
at bat < unk > ,4.767390001116132
fingers that to,3.6175465761878747
> hill < unk > ,4.516367066585111
stayed home kc ,4.9712638545139995
get out more th,8.135196573580277
a blast on st p,4.098309679077635
lets def keep i,2.0726478093936764
felt that < unk,5.312119944675609
not end well,1.2599211831105113
his home town h,3.1824295819261135
unk > address s,4.911565339630495
and along with ,3.761659886474431
i really think ,4.581916370868437
time with my ex,3.7935152170722164
i dont back dow,4.221066262744183
day special all,3.5533931784129074
thats not very ,3.707792856703139
hasnt lived til,2.20254016690511
love him though,4.541655487309153
a american < un,3.8073963580452403
unk > twitters ,7.414316559861959
richmond ca doe,4.3014109496708315
having a rough ,3.5928220870998904
to the french q,5.451434837731137
one year later ,2.4535629394791303
putting her in ,3.2304320544315317
one from you pl,2.0314543005339774
often gentle de,2.3020390597973495
family law tip ,4.468899961103026
tech debt they ,3.701325723778862
we all are you ,9.379044907137951
fuck up < unk >,4.281406621712643
eating ramen no,4.1554860278136605
those annoying ,2.609154117111149
u to know one r,3.8102514468320994
> old order < u,7.550037893725212
wisconsin so im,4.874172272444532
personal and bu,2.49031044566709
the grey is rea,3.728513564830949
can do wonders,3.756285769087931
in tx great has,3.1579923175610403
disappointed in,6.149210124107833
be that kind of,3.851010413895067
straight from f,1.414213786667348
mayor has < unk,3.7003315981378453
me know how the,7.794747377072129
is only variety,2.6207414249201024
it i love you <,5.834934749748222
know that chang,3.215963627373652
good but i bet ,7.354256431059812
have failed mat,1.3160742912801675
really shocked ,4.713199790188031
> ever supposed,4.571115723816189
mentoring progr,1.0000002114999553
adult way of sa,2.6869086453679296
where can i ema,4.33182526984603
> allergy found,1.3699988695872567
southern ca can,3.6102007994197005
outta control b,1.0000002114999553
a head < unk > ,5.317142931252997
will be rocking,4.841212929584884
classic include,4.812357925185427
of people that ,3.2439214753845014
is a place to b,12.420277840211394
relief prep 4 t,4.991836746192782
logo killed its,3.430564397235415
my meeting with,1.615394694795574
> with benefits,5.056107497107473
got your breath,2.8852731045638857
a pace of natur,2.192929379602622
awesome tour < ,3.999355214003306
s nyc show in i,5.305037380064452
unk > rehearsal,6.388569291136382
> morning peopl,4.707526980885341
would require a,3.1144058137934594
issue for < unk,2.7669699730784996
ides and < unk ,6.371407742146353
with this song ,3.818576607120071
was at < unk > ,5.4050415490949595
> larry < unk >,4.057083590965696
to be dropping ,3.606116916966999
i watching < un,5.82540783948139
client has gone,2.873075078374084
i may even brea,3.4509781131200428
watching a scar,2.625266639408819
is the secret w,5.239680097580807
kittens fell as,4.235616279850099
be only happy t,1.3160742912801675
wears his < unk,4.175862151394371
take 3 < unk > ,5.851380518144376
say is rb is al,3.768772696532144
that during the,4.225171372088642
never fight whe,3.5357092427734313
happy new years,3.139963341110698
> catching up o,4.886792460629586
a t in often im,3.92823348367176
good until my t,2.146057531890315
my accent but w,5.195133689908705
awesome like th,3.589727178521312
and then just p,5.017655182885481
your success ma,5.230913206930481
forehead takes ,6.968689174959486
taking a pic wi,5.975889095838557
wks after the g,4.042086417024687
the random hash,3.5471090709212225
hotel planned n,3.8924680853037157
may be just ano,7.671806113162171
not stop rting ,2.5983415194618424
flow three fema,1.0000003172499496
> where youll s,3.3620399074683687
> some reason i,6.3734989547817245
> our record th,4.029650109558235
starting level ,5.001138298818058
group of < unk ,5.426278500923473
imagine how lon,2.1415589595351943
our competition,4.626866995399913
me that exists ,2.4497952554336875
night havent go,3.5180998296474564
close to trendi,6.259967841391299
the services gu,2.281114950322054
say or after < ,3.1075447700017063
everyone throwi,3.57289540629818
with me especia,2.7147358584956
over facebook a,5.779104871833334
in well be ther,3.082582027800389
scott < unk > p,7.305159662235728
that all even c,2.542055539248694
are awesome in ,2.0594534326861527
great job guys,2.4101423005109934
important as fi,3.3006835080837784
> library 2 4 p,5.025301028706645
corny valentine,4.764602168073925
glitter < unk >,5.373962671782331
not only did wh,3.6399181820370123
> night before ,4.7688238907411655
> cake roasted ,2.3848022773554267
ever hosted or ,1.0000003172499496
some rangers ba,1.0000002114999553
advertising on ,6.53231326843733
coaches said he,3.941010997519574
how girls with ,3.8630757904046416
> relief coming,2.7345836805732198
> game watching,2.402249332781127
us on our wall ,4.534114301418518
> you bring tog,8.628907493530805
windows happy n,4.352553337744307
